keys,en,ru,uk
EFFECT_PLANT_SUM_T3,[color=#00ff00]{5}%[/color] chance when picking up a consumable to summon a Tier 3 carnivorous plant. Bites enemies for [color=#00ff00]{0}[/color] ({1}) damage but dies after {4} seconds. Bitten enemies create one homing plant,Шанс [color=#00ff00]{5}%[/color] при поднятии фрукта или ящика вызвать плотоядное растение третьего тира. Кусает врагов нанося [color=#00ff00]{0}[/color] ({1}) урона но погибает через {4} секунд. Укушенные враги создают одно самонаводящееся растение,Шанс [color=#00ff00]{5}%[/color] при піднятті фрукта або ящика викликати м'ясоїдну рослину третього тиру. Кусає ворогів завдаючи [color=#00ff00]{0}[/color] ({1}) шкоди але гине через {4} секунд. Укушені вороги створюють одну самонаводну рослину
EFFECT_PLANT_SUM_T4,[color=#00ff00]{5}%[/color] chance when picking up a consumable to summon a Tier 4 carnivorous plant. Shoots three homing plants at enemies for [color=#00ff00]{0}[/color] ({1}) damage. Dies after {4} seconds,Шанс [color=#00ff00]{5}%[/color] при поднятии фрукта или ящика вызвать плотоядное растение четвёртого тира. Стреляет тремя самонаводящимися растениями во врагов нанося [color=#00ff00]{0}[/color] ({1}) урона. Погибает через {4} секунд,Шанс [color=#00ff00]{5}%[/color] при піднятті фрукта або ящика викликати м'ясоїдну рослину четвертого тиру. Стріляє трьома самонаводящимися рослинами у ворогів завдаючи [color=#00ff00]{0}[/color] ({1}) шкоди. Гине через {4} секунд
EFFECT_GARDENER_SOUL,[color=#00ff00]+{5}%[/color] chance to summon a Tier 3 carnivorous plant,[color=#00ff00]+{5}%[/color] шанс вызвать растение третьего тира,[color=#00ff00]+{5}%[/color] шанс викликати рослину третього тиру
EFFECT_GARDENER_SECOND_SOUL,[color=#00ff00]+{5}%[/color] chance to summon a Tier 4 carnivorous plant,[color=#00ff00]+{5}%[/color] шанс вызвать растение четвёртого тира,[color=#00ff00]+{5}%[/color] шанс викликати рослину четвертого тиру
EFFECT_RETRO_ORBITAL,Spawns a little youtuber that flies around you and shoots bugs at enemies for {0} ({1}) damage,Создаёт маленького ютубера который летает вокруг вас и стреляет во врагов жуками нанося {0} ({1}) урона,Створює маленького ютубера який літає навколо вас і стріляє у ворогів жуками завдаючи {0} ({1}) шкоди
ITEM_RETROMATION_SPIRIT,Retromation Jr,Retromation Младший,Retromation молодший
ITEM_VASILEKS_BLESSING,Vasilek's Blessing,Благославление Василька,Благословення Василька
DESC_DO_GARDENER,Win a run with Gardener,Пройти забег за Садовода,Пройти забіг за Садівника
ITEM_FRUIT_BATTERY,Fruit Battery,Фруктовая Батарейка,Фруктова Батарейка
EFFECT_ROBOTICS_ON_FRUIT,[color=#00ff00]+{5}%[/color] chance when picking up a consumable to summon a robot. Shoots bullets at enemies for [color=#00ff00]{0}[/color] ({1}) damage but dies after {4} seconds,[color=#00ff00]+{5}%[/color] шанс при поднятии фрукта или ящика вызвать робота. Стреляет пулями во врагов нанося [color=#00ff00]{0}[/color] ({1}) урона но погибает через {4} секунд,[color=#00ff00]+{5}%[/color] шанс при піднятті фрукта або ящика викликати робота. Стріляє кулями у ворогів завдаючи [color=#00ff00]{0}[/color] ({1}) шкоди але гине через {4} секунд
CHAR_TECHNOMAGE,Technomage,Техномаг,Техномаг
WEP_KSEROCK_HAND,Kserock's Hand,Рука Ксерока,Рука Ксерока
DESC_DO_TECHNOMAGE,Win a run with Technomage,Пройти забег за Техномага,Пройти забіг за Техномага
WEP_GOLDEN_NUKE_LAUNCHER,GNL,GNL,GNL
DF_NAME_GARDENER,Brains!,Мозги!,Мізки!
DESC_DF_GARDENER,Beat danger 5 with Gardener,Пройти угрозу 5 за Садовода,Пройти складність 5 за Садівника
ITEM_SKALS_TECH,Skal's Technology,Технология Скала,Технологія Скала
DF_NAME_TECHNOMAGE,Technomagic,Техномагия,Техномагія
DESC_DF_TECHNOMAGE,Beat danger 5 with Technomage,Пройти угрозу 5 за Техномага,Пройти складність 5 за Техномага
ITEM_CORPSTAR_HELMET,Corpstar's Helmet,Шлем Корпстара,Шолом Корпстара
EFFECT_FISHERMAN_SOUL,{0} {1} for every 5 living enemies [{4}],{0} {1} за каждые 5 живых врагов [{4}],{0} {1} за кожні 5 живих ворогів [{4}]
EFFECT_MULTITASKER_SOUL,[color=#00ff00]+1[/color] weapon slot,[color=#00ff00]+1[/color] слот оружия,[color=#00ff00]+1[/color] слот зброї
